Method,Avg_Pearson,Avg_Spearman,Num_Valid_Queries
TMC20,0.8991571809428396,0.7401984178028961,100
WSS100,0.8886031035346902,0.7180520233467029,100
TMC10,0.8293442030289504,0.6971420584696848,100
ContextCite100,0.8927843590045357,0.6860440983112316,100
WSS64,0.8674999751994659,0.6766448736722921,100
WSS32,0.854545832966125,0.6350228243476781,100
ContextCite64,0.871562274808516,0.6340816494091701,100
TMC5,0.8229287052517568,0.6295315350626541,100
BetaShap (U)10,0.6949694549800085,0.5958086100509383,100
ContextCite32,0.8177820533187946,0.5808221285296667,100
BetaShap (U)20,0.7148048182644748,0.5684889413692263,100
BetaShap (U)5,0.7537367751702413,0.5586211957777165,100
LOO,0.707449583380626,0.43166281499215814,100
