Method,Avg_Pearson,Avg_Spearman,Num_Valid_Queries
WSS100,0.973105622782174,0.8503042299330623,100
ContextCite100,0.966044915550373,0.8290348696554283,100
WSS64,0.9573039112553511,0.8053746602163955,100
ContextCite64,0.9548154167772763,0.7930253267509074,100
TMC20,0.9159194163130057,0.7850692314944598,100
ContextCite32,0.9052660250661788,0.7558580249513431,100
TMC10,0.8781332030246084,0.7455430103535916,100
WSS32,0.9077969837593082,0.7225156592234796,100
TMC5,0.8440733228572037,0.66721046104865,100
BetaShap (U)20,0.7506760426928865,0.6247939673624092,100
BetaShap (U)10,0.7212016128997192,0.6198275912804273,100
BetaShap (U)5,0.7615063473014051,0.5637354367865285,100
LOO,0.7243009669939096,0.4783377679231337,100
