Method,Avg_Pearson,Avg_Spearman,Avg_Kendall,Avg_NDCG,Num_Valid_Queries
ContextCite100,0.9384188860296824,0.8058573103679388,0.6915922719283196,0.984927895537442,100
ContextCite64,0.9265215053336706,0.7953409884566562,0.6741472804894463,0.9813941501802098,100
WSS_FM100,0.9252760100276214,0.823497574509505,0.711227569828853,0.9852053434727369,100
WSS_XGB100,0.9236989453099268,0.8006737704775027,0.69374590899218,0.9856450525603142,100
WSS_XGB64,0.8964294588230618,0.7583392952568531,0.6367004894198788,0.9785087669313574,100
WSS_FM64,0.8800005836243888,0.7448413466357764,0.62335922193926,0.9706518024227466,100
ContextCite32,0.8603226412170275,0.7040956400483749,0.5772781822329667,0.9642322459434842,100
TMC100,0.8559634773621076,0.7236127547135376,0.6127782166960105,0.9596376311144761,100
WSS_XGB32,0.8117540641210497,0.6201693848265591,0.5023677272012338,0.9489776208114743,100
TMC64,0.7954744984515462,0.6720751327057903,0.5589531030673068,0.9442759742301962,100
LOO,0.7572083530670404,0.5525465838509317,0.44809523809523805,0.8755137495468649,100
TMC32,0.7412574576567714,0.608512065562902,0.4927068093704408,0.9054952633457738,100
WSS_FM32,0.682697068004994,0.466660896417769,0.36803496498258886,0.8586873064921708,100
BetaShap (U)100,0.6268471675824049,0.4875213624685239,0.3891969754690877,0.8672976844268666,100
BetaShap (U)64,0.6054667196506575,0.49390221090757824,0.38873693176285945,0.8473228481673598,100
BetaShap (U)32,0.6024800899622327,0.4864169848540721,0.3822963198756642,0.834748268765093,100
