Method,Avg_Pearson,Avg_Spearman,Num_Valid_Queries
ContextCite100,0.9455321598137685,0.7985811264063998,100
WSS100,0.9455321598137683,0.7985811264063998,100
TMC100,0.9159255745952151,0.7894545454545454,100
TMC64,0.8594048397771402,0.736,100
ContextCite64,0.9229286471641942,0.734574284442484,100
WSS64,0.9229286471641942,0.734574284442484,100
WSS32,0.851258555027583,0.6625412250093382,100
ContextCite32,0.8512585550275833,0.6625412250093382,100
TMC32,0.8151935075994561,0.6086060606060605,100
BetaShap (U)100,0.7328952913870522,0.5916363636363635,100
BetaShap (U)64,0.75057524513586,0.5559999999999999,100
BetaShap (U)32,0.7469367673956152,0.5242424242424242,100
LOO,0.6433373153315435,0.3533702144711626,100
