Method,Avg_Pearson,Avg_Spearman,Num_Valid_Queries
TMC100,0.9764097191660688,0.9345454545454543,100
TMC64,0.9701976262593237,0.9260606060606059,100
TMC32,0.9413354331166284,0.8802424242424242,100
ContextCite100,0.9640605648537962,0.8635151515151515,100
WSS100,0.9636279923695661,0.8592727272727272,100
ContextCite64,0.9562957937497224,0.8488484848484847,100
WSS64,0.9566612788005195,0.8472727272727272,100
BetaShap (U)100,0.9062875007932719,0.8184242424242423,100
BetaShap (U)64,0.8796345121313953,0.791030303030303,100
WSS32,0.9141380499200025,0.7823030303030302,100
ContextCite32,0.9139733892275613,0.781090909090909,100
BetaShap (U)32,0.7960298109193209,0.6969696969696969,100
LOO,0.8574367827244725,0.6509090909090908,100
