Method,Avg_Pearson,Avg_Spearman,Num_Valid_Queries
TMC,0.9915028212312493,0.9454545454545453,2
WSS64,0.9814192128751634,0.8969696969696969,2
ContextCite,0.9821894256090675,0.8909090909090909,2
LOO,0.9786537762268565,0.8909090909090909,2
WSS100,0.983079983427882,0.8727272727272728,2
WSS32,0.9811915760956151,0.8545454545454545,2
BetaShap (U),0.8916335276906111,0.5151515151515151,2
