Exact,ContextCite64,KernelShap64,BetaShap (U)64,TMC64,LOO
0.00015177964012045924,8.742170318937659e-05,7.413383367609596e-05,0.04870979184660284,8.76802516077484e-05,0.004326845732043726
0.995116539173005,0.9971484936666265,0.9979521960106016,0.9512790907305451,0.9501245981202384,0.994700512602094
3.5482671261222344e-06,4.611838155389163e-06,7.744706222198987e-06,8.166477125313524e-13,3.2844809706406826e-08,1.0985821418853889e-05
1.3812223749813381e-06,3.5246396785819542e-06,2.7025408644484226e-06,1.963986704136032e-06,8.354672357190599e-07,1.1718607758206764e-05
0.004708509515063506,0.002665474409370607,0.0019226552147164635,3.8203385826937506e-07,0.04978551420451965,0.0008891464063306761
2.3538830101778774e-06,5.554461174404656e-06,4.90087673035431e-06,8.831604826992003e-13,5.1724325143349005e-08,1.0935355095849236e-05
1.298509367191897e-05,7.860969159673922e-05,2.90516861972943e-05,1.482643028882288e-12,1.0264491042076303e-07,1.5105910539349438e-05
1.0070362431660385e-06,2.3752084832081347e-06,2.6887529465638565e-06,2.349760958070792e-08,9.679875058113593e-07,1.2356047884654748e-05
7.252080419508902e-07,1.979158313033599e-06,2.195271594164377e-06,8.74790090276954e-06,1.9166014554927949e-07,1.2135293714590425e-05
1.1709613426059382e-06,1.9552234123111272e-06,1.7311064509958631e-06,5.946779558089981e-13,2.509470165304171e-08,1.0258223120222302e-05
